precision,recall,f_measure,ref_count,pred_count,raw_pitch_accuracy,raw_chroma_accuracy,overall_accuracy,voicing_recall,voicing_false_alarm,file,output_midi,ground_truth
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0010.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0010_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0010.json
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0004.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0004_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0004.json
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0005.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0005_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0005.json
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0011.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0011_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0011.json
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0007.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0007_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0007.json
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0012.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0012_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0012.json
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0006.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0006_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0006.json
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0002.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0002_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0002.json
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0003.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0003_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0003.json
0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0001.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_if you love me for me_Paired_Speech_Group_0001_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/if you love me for me/Paired_Speech_Group/0001.json
